Contract,Date,Type,Strike,Last,Bid,Ask,Change,Pct_Change,Vol_and_OI,IV
SPY260402C00600000,3/27/2026 3:59 PM,Call,600.0,36.23,34.86,35.44,-10.17,-0.2192,139306,0.37549999999999994
SPY260402C00605000,3/26/2026 11:12 AM,Call,605.0,30.47,30.25,30.83,-18.33,-0.37560000000000004,137,0.36
SPY260402C00610000,3/27/2026 3:50 PM,Call,610.0,26.21,25.84,26.4,-12.55,-0.32380000000000003,197158,0.3477
SPY260402C00615000,3/27/2026 3:52 PM,Call,615.0,21.7,21.7,22.16,-16.66,-0.4343,186129,0.33590000000000003
SPY260402C00620000,3/27/2026 4:14 PM,Call,620.0,17.96,17.8,18.27,-14.54,-0.4474,620140,0.3289
SPY260402C00625000,3/27/2026 4:04 PM,Call,625.0,14.63,14.3,14.72,-9.64,-0.3972,79163,0.32289999999999996
SPY260402C00626000,3/27/2026 4:11 PM,Call,626.0,13.73,13.64,14.05,-10.94,-0.4435,4015,0.3215
SPY260402C00627000,3/27/2026 3:22 PM,Call,627.0,13.88,12.99,13.4,-19.69,-0.5865,2431,0.3204
SPY260402C00628000,3/27/2026 3:49 PM,Call,628.0,12.76,12.36,12.77,-8.73,-0.40619999999999995,13617,0.3195
SPY260402C00629000,3/27/2026 4:09 PM,Call,629.0,12.05,11.75,12.16,-13.23,-0.5233,129124,0.3187
SPY260402C00630000,3/27/2026 4:14 PM,Call,630.0,11.33,11.2,11.5,-8.91,-0.44020000000000004,604370,0.3156
SPY260402C00631000,3/27/2026 4:14 PM,Call,631.0,10.73,10.71,10.83,-8.78,-0.45,10633,0.3116
SPY260402C00632000,3/27/2026 4:11 PM,Call,632.0,10.15,10.15,10.23,-10.78,-0.5151,20660,0.3095
SPY260402C00633000,3/27/2026 4:14 PM,Call,633.0,9.69,9.61,9.69,-9.55,-0.4964,55240,0.30879999999999996
SPY260402C00634000,3/27/2026 4:14 PM,Call,634.0,9.1,9.08,9.16,-8.3,-0.47700000000000004,48014,0.3079
SPY260402C00635000,3/27/2026 4:14 PM,Call,635.0,8.6,8.57,8.64,-12.46,-0.5916,2451389,0.30670000000000003
SPY260402C00636000,3/27/2026 4:14 PM,Call,636.0,8.06,8.07,8.15,-9.21,-0.5333,543605,0.306
SPY260402C00637000,3/27/2026 4:14 PM,Call,637.0,7.62,7.59,7.66,-8.76,-0.5347999999999999,288228,0.3046
SPY260402C00638000,3/27/2026 4:14 PM,Call,638.0,7.18,7.13,7.2,-7.17,-0.4997,495924,0.3037
SPY260402C00639000,3/27/2026 4:14 PM,Call,639.0,6.67,6.68,6.75,-9.84,-0.596,4733260,0.30260000000000004
SPY260402C00640000,3/27/2026 4:14 PM,Call,640.0,6.28,6.25,6.32,-9.12,-0.5922,4412198,0.3015
SPY260402C00645000,3/27/2026 4:14 PM,Call,645.0,4.41,4.36,4.43,-7.16,-0.6188,4094558,0.2958
SPY260402C00650000,3/27/2026 4:14 PM,Call,650.0,2.92,2.9,2.98,-5.58,-0.6565000000000001,6013052,0.29100000000000004
SPY260402C00655000,3/27/2026 4:14 PM,Call,655.0,1.83,1.83,1.87,-4.17,-0.695,6283348,0.2841
SPY260402C00660000,3/27/2026 4:14 PM,Call,660.0,1.12,1.08,1.12,-2.94,-0.7241,6683412,0.2788
SPY260402C00665000,3/27/2026 4:14 PM,Call,665.0,0.61,0.59,0.62,-1.89,-0.7559999999999999,8013913,0.2727
SPY260402C00670000,3/27/2026 4:14 PM,Call,670.0,0.3,0.29,0.32,-1.06,-0.7794,3995024816,0.2671
SPY260402P00600000,3/27/2026 4:14 PM,Put,600.0,1.08,1.06,1.09,0.59,1.2041,18020857,0.3546
SPY260402P00605000,3/27/2026 4:14 PM,Put,605.0,1.48,1.44,1.48,0.98,1.96,37074682,0.3428
SPY260402P00610000,3/27/2026 4:14 PM,Put,610.0,2.08,2.02,2.05,1.45,2.3016,1248512309,0.33340000000000003
SPY260402P00615000,3/27/2026 4:13 PM,Put,615.0,2.88,2.83,2.86,1.78,1.6181999999999999,1326604696,0.3261
SPY260402P00620000,3/27/2026 4:14 PM,Put,620.0,3.95,3.95,3.98,2.41,1.5649000000000002,1386489160,0.3208
SPY260402P00625000,3/27/2026 4:14 PM,Put,625.0,5.44,5.39,5.46,3.11,1.3348,126143117812,0.31670000000000004
SPY260402P00626000,3/27/2026 4:13 PM,Put,626.0,5.82,5.74,5.8,3.36,1.3659000000000001,15164223,0.31579999999999997
SPY260402P00627000,3/27/2026 4:13 PM,Put,627.0,6.2,6.09,6.16,3.79,1.5726,1326990,0.3151
SPY260402P00628000,3/27/2026 4:13 PM,Put,628.0,6.57,6.46,6.53,3.75,1.3297999999999999,22402285,0.31420000000000003
SPY260402P00629000,3/27/2026 4:14 PM,Put,629.0,6.98,6.85,6.92,4.31,1.6141999999999999,14871409,0.3135
SPY260402P00630000,3/27/2026 4:14 PM,Put,630.0,7.36,7.26,7.33,4.22,1.3438999999999999,141402028281,0.3128
SPY260402P00631000,3/27/2026 4:14 PM,Put,631.0,7.74,7.68,7.75,4.54,1.4188,41331562,0.312
SPY260402P00632000,3/27/2026 4:14 PM,Put,632.0,8.26,8.12,8.2,4.99,1.526,29481087,0.3115
SPY260402P00633000,3/27/2026 4:14 PM,Put,633.0,8.67,8.57,8.65,4.9,1.2997,42613998,0.3105
SPY260402P00634000,3/27/2026 4:14 PM,Put,634.0,9.08,9.05,9.13,5.19,1.3341999999999998,3097870,0.3099
SPY260402P00635000,3/27/2026 4:14 PM,Put,635.0,9.58,9.54,9.62,5.28,1.2279,7967217525,0.3091
SPY260402P00636000,3/27/2026 4:12 PM,Put,636.0,10.14,10.04,10.13,5.45,1.162,5726725,0.3084
SPY260402P00637000,3/27/2026 4:12 PM,Put,637.0,10.65,10.56,10.65,5.9,1.2421,3414713,0.3074
SPY260402P00638000,3/27/2026 4:14 PM,Put,638.0,11.26,10.93,11.35,6.76,1.5022,2427899,0.312
SPY260402P00639000,3/27/2026 4:06 PM,Put,639.0,11.59,11.51,11.92,5.04,0.7695000000000001,60241546,0.3115
SPY260402P00640000,3/27/2026 4:12 PM,Put,640.0,12.33,12.06,12.47,6.54,1.1295,131539128889,0.3098
SPY260402P00645000,3/27/2026 4:14 PM,Put,645.0,15.43,15.11,15.7,8.15,1.1195,5920566812,0.3094
SPY260402P00650000,3/27/2026 4:13 PM,Put,650.0,19.03,18.7,19.25,9.23,0.9418000000000001,2537237689,0.3065
SPY260402P00655000,3/27/2026 4:14 PM,Put,655.0,22.98,22.7,23.2,10.98,0.915,11903602,0.3059
SPY260402P00660000,3/27/2026 4:13 PM,Put,660.0,27.29,26.93,27.53,13.98,1.0503,23684216,0.3114
SPY260402P00665000,3/27/2026 4:11 PM,Put,665.0,31.94,31.47,32.1,13.47,0.7293000000000001,2856734297,0.3209
SPY260402P00670000,3/27/2026 4:02 PM,Put,670.0,36.5,36.24,36.85,13.71,0.6015999999999999,92518648,0.3362
